file_path(string),gt_class(string),gt_box(string),pd_class(string),pd_box(string),pd_score(float),frame_idx_in_file(int)
2007_000027.jpg,person,"{'x_left': 0.35802469135802467, 'y_top': 0.202, 'x_right': 0.7181069958847737, 'y_bottom': 0.702}",,,,0
2007_000027.jpg,,,person,"{'x_left': 0.3575812407499094, 'y_top': 0.19647759055816208, 'x_right': 0.7432710423977559, 'y_bottom': 0.648141756940805}",0.97243774,0
2007_000032.jpg,aeroplane,"{'x_left': 0.208, 'y_top': 0.2775800711743772, 'x_right': 0.75, 'y_bottom': 0.6512455516014235}",,,,0
2007_000032.jpg,aeroplane,"{'x_left': 0.266, 'y_top': 0.31316725978647686, 'x_right': 0.394, 'y_bottom': 0.4377224199288256}",,,,0
2007_000032.jpg,person,"{'x_left': 0.39, 'y_top': 0.6405693950177936, 'x_right': 0.426, 'y_bottom': 0.8149466192170819}",,,,0
2007_000032.jpg,person,"{'x_left': 0.052, 'y_top': 0.6725978647686833, 'x_right': 0.088, 'y_bottom': 0.8469750889679716}",,,,0
2007_000032.jpg,,,aeroplane,"{'x_left': 0.26005969401322876, 'y_top': 0.3194489457007784, 'x_right': 0.41728323894464053, 'y_bottom': 0.4180308510756263}",0.39963207,0
2007_000032.jpg,,,aeroplane,"{'x_left': 0.11593914832170188, 'y_top': 0.2705757896915766, 'x_right': 0.7556659178310174, 'y_bottom': 0.581324045088016}",0.7591062,0
2007_000032.jpg,,,person,"{'x_left': 0.03799650374662418, 'y_top': 0.6515134746060922, 'x_right': 0.08578266474914092, 'y_bottom': 0.8432070944176271}",0.42615435,0
2007_000032.jpg,,,person,"{'x_left': 0.3797498581585976, 'y_top': 0.6120508176764616, 'x_right': 0.4349806851980778, 'y_bottom': 0.8308852084565621}",0.11489001,0
2007_000033.jpg,aeroplane,"{'x_left': 0.018, 'y_top': 0.2923497267759563, 'x_right': 0.998, 'y_bottom': 0.7185792349726776}",,,,0
2007_000033.jpg,aeroplane,"{'x_left': 0.842, 'y_top': 0.546448087431694, 'x_right': 0.964, 'y_bottom': 0.6174863387978142}",,,,0
2007_000033.jpg,aeroplane,"{'x_left': 0.65, 'y_top': 0.5136612021857924, 'x_right': 0.822, 'y_bottom': 0.6092896174863388}",,,,0
2007_000033.jpg,,,aeroplane,"{'x_left': 0.015898255833845854, 'y_top': 0.27874045629570116, 'x_right': 0.9539816785871066, 'y_bottom': 0.7311600952801796}",0.9059748,0
2007_000033.jpg,,,aeroplane,"{'x_left': 0.6515305643952809, 'y_top': 0.5223732775630859, 'x_right': 0.8423239032901251, 'y_bottom': 0.6175187870449744}",0.36782968,0
2007_000033.jpg,,,aeroplane,"{'x_left': 0.807858216637373, 'y_top': 0.5352917233195443, 'x_right': 0.9718468309700489, 'y_bottom': 0.6215342501178384}",0.25656193,0
2007_000039.jpg,tvmonitor,"{'x_left': 0.312, 'y_top': 0.23733333333333334, 'x_right': 0.688, 'y_bottom': 0.744}",,,,0
2007_000039.jpg,,,tvmonitor,"{'x_left': 0.3119982932153573, 'y_top': 0.22731780579337713, 'x_right': 0.7404777185744047, 'y_bottom': 0.7456797770823882}",0.92353404,0
2007_000042.jpg,train,"{'x_left': 0.526, 'y_top': 0.0955223880597015, 'x_right': 1.0, 'y_bottom': 0.8805970149253731}",,,,0
2007_000042.jpg,train,"{'x_left': 0.002, 'y_top': 0.10746268656716418, 'x_right': 0.47, 'y_bottom': 0.8925373134328358}",,,,0
2007_000042.jpg,,,train,"{'x_left': 0.0, 'y_top': 0.09948419625869159, 'x_right': 0.45276556907309934, 'y_bottom': 0.9124179801581456}",0.9543261,0
2007_000042.jpg,,,train,"{'x_left': 0.5434541975795305, 'y_top': 0.10548010854115858, 'x_right': 1.0, 'y_bottom': 0.8754768493492786}",0.9325098,0
2007_000061.jpg,boat,"{'x_left': 0.548, 'y_top': 0.03303303303303303, 'x_right': 0.874, 'y_bottom': 0.8378378378378378}",,,,0
2007_000061.jpg,boat,"{'x_left': 0.368, 'y_top': 0.6426426426426426, 'x_right': 0.562, 'y_bottom': 0.7567567567567568}",,,,0
2007_000061.jpg,,,boat,"{'x_left': 0.5414567742461195, 'y_top': 0.009789050607314498, 'x_right': 0.9124068510969098, 'y_bottom': 0.8819693546379529}",0.94530237,0
2007_000061.jpg,,,boat,"{'x_left': 0.3488671346746959, 'y_top': 0.6172224067418621, 'x_right': 0.5214698105656184, 'y_bottom': 0.7324457567777771}",0.54419535,0
2007_000063.jpg,dog,"{'x_left': 0.246, 'y_top': 0.30666666666666664, 'x_right': 0.758, 'y_bottom': 0.7333333333333333}",,,,0
2007_000063.jpg,chair,"{'x_left': 0.15, 'y_top': 0.0026666666666666666, 'x_right': 0.856, 'y_bottom': 1.0}",,,,0
2007_000063.jpg,,,chair,"{'x_left': 0.09542711448852831, 'y_top': 0.0023026376380370084, 'x_right': 0.8984678339206256, 'y_bottom': 0.8820528707261268}",0.91879797,0
2007_000063.jpg,,,dog,"{'x_left': 0.24101150891065592, 'y_top': 0.2879218721751525, 'x_right': 0.7454916565911587, 'y_bottom': 0.7348269099093859}",0.9547541,0
2007_000068.jpg,bird,"{'x_left': 0.054, 'y_top': 0.12, 'x_right': 0.532, 'y_bottom': 1.0}",,,,0
2007_000068.jpg,,,sheep,"{'x_left': 0.2820766956861202, 'y_top': 0.11617937919612115, 'x_right': 0.9948494320777745, 'y_bottom': 0.8730752650877605}",0.118506126,0
2007_000068.jpg,,,bird,"{'x_left': 0.03794996233628345, 'y_top': 0.13955674524078004, 'x_right': 0.678766739831521, 'y_bottom': 0.9924880515194856}",0.7153602,0
2007_000121.jpg,tvmonitor,"{'x_left': 0.502, 'y_top': 0.07466666666666667, 'x_right': 0.95, 'y_bottom': 0.712}",,,,0
2007_000121.jpg,tvmonitor,"{'x_left': 0.044, 'y_top': 0.07466666666666667, 'x_right': 0.502, 'y_bottom': 0.728}",,,,0
2007_000121.jpg,,,tvmonitor,"{'x_left': 0.03716501561618771, 'y_top': 0.0907400260331998, 'x_right': 0.5081514879819522, 'y_bottom': 0.7137317555874128}",0.9419043,0
2007_000121.jpg,,,tvmonitor,"{'x_left': 0.4842388266457044, 'y_top': 0.05553208987456104, 'x_right': 0.9439823624130396, 'y_bottom': 0.7511505541075193}",0.9735647,0
2007_000123.jpg,train,"{'x_left': 0.002, 'y_top': 0.06933333333333333, 'x_right': 0.716, 'y_bottom': 0.9066666666666666}",,,,0
2007_000123.jpg,,,train,"{'x_left': 0.06118343374912555, 'y_top': 0.12941171250939376, 'x_right': 0.7250753348277166, 'y_bottom': 0.9040687666576642}",0.93417984,0
2007_000129.jpg,bicycle,"{'x_left': 0.20958083832335328, 'y_top': 0.404, 'x_right': 0.7634730538922155, 'y_bottom': 1.0}",,,,0
2007_000129.jpg,bicycle,"{'x_left': 0.7514970059880239, 'y_top': 0.484, 'x_right': 1.0, 'y_bottom': 1.0}",,,,0
2007_000129.jpg,bicycle,"{'x_left': 0.0029940119760479044, 'y_top': 0.288, 'x_right': 0.20059880239520958, 'y_bottom': 0.872}",,,,0
2007_000129.jpg,person,"{'x_left': 0.0029940119760479044, 'y_top': 0.002, 'x_right': 0.19760479041916168, 'y_bottom': 0.726}",,,,0
2007_000129.jpg,person,"{'x_left': 0.2215568862275449, 'y_top': 0.002, 'x_right': 0.8143712574850299, 'y_bottom': 0.924}",,,,0
2007_000129.jpg,person,"{'x_left': 0.7544910179640718, 'y_top': 0.038, 'x_right': 1.0, 'y_bottom': 0.974}",,,,0
2007_000129.jpg,,,person,"{'x_left': 0.0, 'y_top': 0.0, 'x_right': 0.19365559716673997, 'y_bottom': 0.7377093515841777}",0.68651175,0
2007_000129.jpg,,,person,"{'x_left': 0.225816939330101, 'y_top': 0.0, 'x_right': 0.7966514349955778, 'y_bottom': 0.9799342353655742}",0.96230394,0
2007_000129.jpg,,,person,"{'x_left': 0.742423230881714, 'y_top': 0.052881760164774416, 'x_right': 1.0, 'y_bottom': 0.9622952054753671}",0.80110544,0
2007_000129.jpg,,,bicycle,"{'x_left': 0.0, 'y_top': 0.27613254455153763, 'x_right': 0.20057972622257011, 'y_bottom': 0.890079115540156}",0.69391006,0
2007_000129.jpg,,,bicycle,"{'x_left': 0.24621319665532848, 'y_top': 0.37214165592991394, 'x_right': 0.7718256172291131, 'y_bottom': 0.9786061586153507}",0.85242504,0
2007_000129.jpg,,,bicycle,"{'x_left': 0.741132973124339, 'y_top': 0.43502762568858955, 'x_right': 1.0, 'y_bottom': 0.9986529315990668}",0.5989909,0
2007_000170.jpg,bottle,"{'x_left': 0.174, 'y_top': 0.26666666666666666, 'x_right': 0.218, 'y_bottom': 0.44}",,,,0
2007_000170.jpg,bottle,"{'x_left': 0.082, 'y_top': 0.304, 'x_right': 0.146, 'y_bottom': 0.4826666666666667}",,,,0
2007_000170.jpg,bottle,"{'x_left': 0.648, 'y_top': 0.39466666666666667, 'x_right': 0.704, 'y_bottom': 0.5493333333333333}",,,,0
2007_000170.jpg,bottle,"{'x_left': 0.852, 'y_top': 0.4186666666666667, 'x_right': 0.886, 'y_bottom': 0.52}",,,,0
2007_000170.jpg,person,"{'x_left': 0.006, 'y_top': 0.24266666666666667, 'x_right': 0.086, 'y_bottom': 0.5493333333333333}",,,,0
2007_000170.jpg,person,"{'x_left': 0.008, 'y_top': 0.07466666666666667, 'x_right': 0.922, 'y_bottom': 0.992}",,,,0
2007_000170.jpg,,,person,"{'x_left': 0.0, 'y_top': 0.20975293464706493, 'x_right': 0.061312261955096176, 'y_bottom': 0.4781767277272848}",0.36665034,0
2007_000170.jpg,,,bottle,"{'x_left': 0.179253370190813, 'y_top': 0.27824243613275196, 'x_right': 0.2211807937097091, 'y_bottom': 0.43345108001163374}",0.5101634,0
2007_000170.jpg,,,bottle,"{'x_left': 0.06657750439047813, 'y_top': 0.2739112182731812, 'x_right': 0.1341203348696232, 'y_bottom': 0.5413130211862234}",0.47513705,0
2007_000170.jpg,,,bottle,"{'x_left': 0.00603017249795107, 'y_top': 0.25769464934239017, 'x_right': 0.03861464635821489, 'y_bottom': 0.7095013108491898}",0.14649177,0
2007_000170.jpg,,,person,"{'x_left': 0.08881587223639853, 'y_top': 0.07454825838666701, 'x_right': 0.8941797708291274, 'y_bottom': 0.9526700375909989}",0.87373626,0
2007_000170.jpg,,,bottle,"{'x_left': 0.6511364708749148, 'y_top': 0.3866280134709982, 'x_right': 0.7043692523447367, 'y_bottom': 0.5596247131205522}",0.6875987,0
2007_000170.jpg,,,bottle,"{'x_left': 0.8433724402130797, 'y_top': 0.41115958117154927, 'x_right': 0.8814176767022565, 'y_bottom': 0.5621607241758934}",0.38538846,0
2007_000175.jpg,sheep,"{'x_left': 0.05, 'y_top': 0.10240963855421686, 'x_right': 0.838, 'y_bottom': 0.8162650602409639}",,,,0
2007_000175.jpg,,,sheep,"{'x_left': 0.0, 'y_top': 0.1987707369929094, 'x_right': 0.13809172518608662, 'y_bottom': 0.6114353553280464}",0.68554497,0
2007_000175.jpg,,,sheep,"{'x_left': 0.047007465143387106, 'y_top': 0.12794968221714864, 'x_right': 0.8427444460199429, 'y_bottom': 0.8269639706430527}",0.93432194,0
2007_000187.jpg,tvmonitor,"{'x_left': 0.002, 'y_top': 0.25333333333333335, 'x_right': 0.48, 'y_bottom': 0.896}",,,,0
2007_000187.jpg,,,bottle,"{'x_left': 0.5656932836879904, 'y_top': 0.318118945136437, 'x_right': 0.6970412670081625, 'y_bottom': 0.7100765002177312}",0.38123578,0
2007_000187.jpg,,,tvmonitor,"{'x_left': 0.0, 'y_top': 0.24091762292641866, 'x_right': 0.5114158933920585, 'y_bottom': 0.9126990163575686}",0.9639577,0
2007_000241.jpg,boat,"{'x_left': 0.712, 'y_top': 0.488, 'x_right': 1.0, 'y_bottom': 0.7466666666666667}",,,,0
2007_000241.jpg,boat,"{'x_left': 0.12, 'y_top': 0.2906666666666667, 'x_right': 0.284, 'y_bottom': 0.568}",,,,0
2007_000241.jpg,boat,"{'x_left': 0.492, 'y_top': 0.35733333333333334, 'x_right': 0.696, 'y_bottom': 0.5786666666666667}",,,,0
2007_000241.jpg,,,boat,"{'x_left': 0.09973942102950352, 'y_top': 0.27167419289368855, 'x_right': 0.2913026280850172, 'y_bottom': 0.5484227125211862}",0.7870949,0
2007_000241.jpg,,,boat,"{'x_left': 0.5052110799046663, 'y_top': 0.36501091631669264, 'x_right': 0.6880655363385495, 'y_bottom': 0.5875113362979889}",0.8215275,0
2007_000241.jpg,,,boat,"{'x_left': 0.711985875574442, 'y_top': 0.501334811398066, 'x_right': 1.0, 'y_bottom': 0.7517434246316324}",0.7587164,0
2007_000243.jpg,aeroplane,"{'x_left': 0.362, 'y_top': 0.3813813813813814, 'x_right': 0.548, 'y_bottom': 0.5795795795795796}",,,,0
2007_000243.jpg,,,aeroplane,"{'x_left': 0.36153284938977315, 'y_top': 0.3696621510725755, 'x_right': 0.5520535195378157, 'y_bottom': 0.5936396038422218}",0.925233,0
2007_000250.jpg,diningtable,"{'x_left': 0.002, 'y_top': 0.4533333333333333, 'x_right': 0.948, 'y_bottom': 1.0}",,,,0
2007_000250.jpg,bottle,"{'x_left': 0.194, 'y_top': 0.33066666666666666, 'x_right': 0.3, 'y_bottom': 0.792}",,,,0
2007_000250.jpg,,,bottle,"{'x_left': 0.181335111405987, 'y_top': 0.35169569740955653, 'x_right': 0.3025551102631367, 'y_bottom': 0.8043584967473837}",0.78090054,0
2007_000256.jpg,aeroplane,"{'x_left': 0.016, 'y_top': 0.27988338192419826, 'x_right': 0.982, 'y_bottom': 0.6763848396501457}",,,,0
2007_000256.jpg,,,aeroplane,"{'x_left': 0.07752294478049632, 'y_top': 0.2925545814656753, 'x_right': 0.9404003002826984, 'y_bottom': 0.6647399193254342}",0.86276585,0
2007_000272.jpg,person,"{'x_left': 0.07507507507507508, 'y_top': 0.142, 'x_right': 0.9129129129129129, 'y_bottom': 1.0}",,,,0
2007_000272.jpg,,,person,"{'x_left': 0.06528213144449091, 'y_top': 0.14685452781961522, 'x_right': 0.7956904014147245, 'y_bottom': 1.0}",0.86083865,0
2007_000272.jpg,,,chair,"{'x_left': 0.8062827782166693, 'y_top': 0.7413503537060664, 'x_right': 0.9872597811136108, 'y_bottom': 0.9853998046405499}",0.14845072,0
2007_000323.jpg,person,"{'x_left': 0.554, 'y_top': 0.008, 'x_right': 1.0, 'y_bottom': 1.0}",,,,0
2007_000323.jpg,person,"{'x_left': 0.024, 'y_top': 0.008, 'x_right': 0.61, 'y_bottom': 1.0}",,,,0
2007_000323.jpg,,,person,"{'x_left': 0.04605506349068422, 'y_top': 0.04027471967568769, 'x_right': 0.6265471819501657, 'y_bottom': 0.9644636845249397}",0.95184875,0
2007_000323.jpg,,,person,"{'x_left': 0.5661209755549522, 'y_top': 0.031740787885189026, 'x_right': 0.9884290555018186, 'y_bottom': 0.9767706636892832}",0.9228716,0
